Administrative District,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
32,2014-15,"14,011","1,433",996,"1,059","1,118","1,098","1,091","1,090","1,128","1,192","1,237",642,878,534,515,"6,886",49.1,"7,125",50.9,269,1.9,"2,569",18.3,"10,848",77.4,81,0.6,244,1.7,"2,532",18.1,"2,567",18.3,"12,086",86.3,80.8%
75,2014-15,"23,472",301,"1,368","1,773","1,742","1,665","1,639","1,600","1,477","1,561","1,533","1,987","1,697","1,360","3,769","6,351",27.1,"17,121",72.9,"1,627",6.9,"8,961",38.2,"9,359",39.9,358,1.5,"3,167",13.5,"22,936",97.7,"4,522",19.3,"15,689",66.8,71.0%
79,2014-15,"4,934",0,0,0,0,0,0,1,10,34,136,703,"3,792",164,94,"1,751",35.5,"3,183",64.5,417,8.5,"2,115",42.9,"1,932",39.2,94,1.9,376,7.6,"1,020",20.7,822,16.7,"2,580",52.3,70.6%
84,2014-15,"84,717",194,"10,575","10,681","9,011","7,659","6,530","7,567","7,754","6,503","4,765","5,258","3,795","2,542","1,883","43,183",51,"41,534",49,"1,909",2.3,"47,728",56.3,"30,352",35.8,"1,442",1.7,"3,286",3.9,"13,374",15.8,"5,285",6.2,"65,867",77.7,68.4%
1,2015-16,"12,009",842,905,912,899,858,849,904,854,825,798,660,974,862,867,"5,873",48.9,"6,136",51.1,"2,565",21.4,"2,027",16.9,"5,024",41.8,328,2.7,"2,065",17.2,"2,577",21.5,"1,092",9.1,"7,556",62.9,61.4%
2,2015-16,"63,493","2,307","3,012","2,966","2,909","2,966","2,886","2,762","2,558","2,462","2,412","9,971","9,765","8,239","8,278","33,244",52.4,"30,249",47.6,"14,707",23.2,"10,003",15.8,"20,921",33,"2,406",3.8,"15,456",24.3,"10,437",16.4,"5,254",8.3,"33,540",52.8,48.6%
3,2015-16,"22,866","1,106","1,476","1,511","1,447","1,401","1,293","1,398","1,469","1,333","1,371","2,377","2,436","2,164","2,084","12,245",53.6,"10,621",46.4,"1,766",7.7,"5,326",23.3,"7,742",33.9,972,4.3,"7,060",30.9,"3,900",17.1,"1,176",5.1,"11,137",48.7,45.8%
4,2015-16,"13,946",989,988,"1,024","1,034","1,043","1,035","1,054",996,"1,040","1,041",990,"1,005",889,818,"7,153",51.3,"6,793",48.7,989,7.1,"3,560",25.5,"8,501",61,296,2.1,600,4.3,"3,343",24,"1,389",10,"11,188",80.2,77.0%
5,2015-16,"12,440","1,175",814,860,859,805,867,799,779,770,890,"1,015",983,951,873,"6,008",48.3,"6,432",51.7,449,3.6,"6,204",49.9,"4,979",40,267,2.1,541,4.3,"2,614",21,"1,094",8.8,"10,186",81.9,77.2%
6,2015-16,"24,419","1,986","1,916","1,983","1,933","2,005","1,983","1,676","1,669","1,755","1,796","1,775","1,515","1,109","1,318","11,896",48.7,"12,523",51.3,301,1.2,"1,806",7.4,"21,024",86.1,187,0.8,"1,101",4.5,"4,484",18.4,"6,579",26.9,"20,288",83.1,76.5%
7,2015-16,"20,596","1,429","1,332","1,377","1,304","1,273","1,240","1,343","1,143","1,271","1,337","2,073","2,139","1,619","1,716","9,667",46.9,"10,929",53.1,228,1.1,"5,522",26.8,"14,382",69.8,176,0.9,288,1.4,"4,807",23.3,"3,342",16.2,"18,863",91.6,85.8%
8,2015-16,"29,783","2,127","2,204","2,396","2,255","2,211","2,240","2,251","1,896","2,057","2,124","2,414","2,089","1,708","1,811","14,428",48.4,"15,355",51.6,"1,591",5.3,"6,885",23.1,"19,097",64.1,372,1.2,"1,838",6.2,"7,001",23.5,"3,524",11.8,"23,152",77.7,74.4%
9,2015-16,"37,439","2,766","3,013","3,045","2,994","3,010","2,945","2,812","2,668","2,750","2,848","2,474","2,278","1,967","1,869","18,375",49.1,"19,064",50.9,521,1.4,"11,007",29.4,"25,209",67.3,281,0.8,421,1.1,"7,899",21.1,"8,251",22,"33,595",89.7,86.8%
10,2015-16,"57,738","3,652","4,260","4,648","4,574","4,407","4,401","4,134","3,713","3,734","3,704","4,666","4,343","3,756","3,746","28,143",48.7,"29,595",51.3,"4,216",7.3,"9,546",16.5,"39,707",68.8,934,1.6,"3,335",5.8,"11,486",19.9,"11,003",19.1,"46,779",81,76.6%
11,2015-16,"41,390","3,209","3,118","3,387","3,425","3,329","3,230","3,282","2,944","2,937","3,096","2,944","2,552","1,906","2,031","19,833",47.9,"21,557",52.1,"3,083",7.4,"17,056",41.2,"17,131",41.4,764,1.8,"3,356",8.1,"8,053",19.5,"3,913",9.5,"29,945",72.3,65.9%
